symbol,date,open,high,low,close,volume,factor
AAPL,2021-01-04,133.52,133.61,126.76,129.41,143301900,1
AAPL,2021-01-05,128.89,131.74,128.43,131.01,97664900,1
AAPL,2021-01-06,127.72,131.05,126.38,126.60,155088000,1
AAPL,2021-01-07,128.36,131.63,127.86,130.92,109578200,1
AAPL,2021-01-08,132.43,132.63,130.23,132.05,105158200,1
AAPL,2021-01-11,129.19,130.17,128.50,128.98,100384500,1
AAPL,2021-01-12,128.50,129.69,126.86,128.80,91951100,1
AAPL,2021-01-13,128.76,131.45,128.49,130.89,88636800,1
AAPL,2021-01-14,130.80,131.00,128.76,128.91,90221800,1
AAPL,2021-01-15,128.78,130.22,127.00,127.14,111598500,1
AAPL,2021-01-19,127.78,128.71,126.94,127.83,90757300,1
AAPL,2021-01-20,128.66,132.49,128.55,132.03,104319500,1
AAPL,2021-01-21,133.80,139.67,133.59,136.87,120150900,1
AAPL,2021-01-22,136.28,139.85,135.02,139.07,114459400,1
AAPL,2021-01-25,143.07,145.09,136.54,142.92,157611700,1
AAPL,2021-01-26,143.60,144.30,141.37,143.16,98390600,1
AAPL,2021-01-27,143.43,144.30,140.41,142.06,140843800,1
AAPL,2021-01-28,139.52,141.99,136.70,137.09,142621100,1
AAPL,2021-01-29,135.83,136.74,130.21,131.96,177523800,1
AAPL,2021-02-01,133.75,135.38,130.93,134.14,106239800,1
AAPL,2021-02-02,135.73,136.31,134.61,134.99,83305400,1
AAPL,2021-02-03,135.76,135.77,133.61,133.94,89880900,1
AAPL,2021-02-04,136.30,137.40,134.59,137.39,84183100,1
AAPL,2021-02-05,137.35,137.42,135.86,136.76,75693800,1
AAPL,2021-02-08,136.03,136.96,134.92,136.91,71297200,1
AAPL,2021-02-09,136.62,137.88,135.85,136.01,76774200,1
AAPL,2021-02-10,136.48,136.99,134.40,135.39,73046600,1
AAPL,2021-02-11,135.90,136.39,133.77,135.13,64280000,1
AAPL,2021-02-12,134.35,135.53,133.69,135.37,60145100,1
AAPL,2021-02-16,135.49,136.01,132.79,133.19,80576300,1
AAPL,2021-02-17,131.25,132.22,129.47,130.84,97918500,1
AAPL,2021-02-18,129.20,130.00,127.41,129.71,96856700,1
AAPL,2021-02-19,130.24,130.71,128.80,129.87,87668800,1
AAPL,2021-02-22,128.01,129.72,125.60,126.00,103916400,1
AAPL,2021-02-23,123.76,126.71,118.39,125.86,158273000,1
AAPL,2021-02-24,124.94,125.56,122.23,125.35,111039900,1
AAPL,2021-02-25,124.68,126.46,120.54,120.99,148199500,1
AAPL,2021-02-26,122.59,124.85,121.20,121.26,164560400,1
AAPL,2021-03-01,123.75,127.93,122.79,127.79,116307900,1
AAPL,2021-03-02,128.41,128.72,125.01,125.12,102260900,1
AAPL,2021-03-03,124.81,125.71,121.84,122.06,112966300,1
AAPL,2021-03-04,121.75,123.60,118.62,120.13,178155000,1
AAPL,2021-03-05,120.98,121.94,117.57,121.42,153766600,1
AAPL,2021-03-08,120.93,121.00,116.21,116.36,154376600,1
AAPL,2021-03-09,119.03,122.06,118.79,121.09,129525800,1
AAPL,2021-03-10,121.69,122.17,119.45,119.98,111943300,1
AAPL,2021-03-11,122.54,123.21,121.26,121.96,103026500,1
AAPL,2021-03-12,120.40,121.17,119.16,121.03,88105100,1
AAPL,2021-03-15,121.41,124.00,120.42,123.99,92403800,1
AAPL,2021-03-16,125.70,127.22,124.72,125.57,115227900,1
AAPL,2021-03-17,124.05,125.86,122.34,124.76,111932600,1
AAPL,2021-03-18,122.88,123.18,120.32,120.53,121229700,1
AAPL,2021-03-19,119.90,121.43,119.68,119.99,185549500,1
AAPL,2021-03-22,120.33,123.87,120.26,123.39,111912300,1
