symbol,date,open,high,low,close,volume,factor
AMZN,2021-01-04,163.50,163.60,157.20,159.33,88228000,1
AMZN,2021-01-05,158.30,161.17,158.25,160.93,53110000,1
AMZN,2021-01-06,157.32,159.88,156.56,156.92,87896000,1
AMZN,2021-01-07,157.85,160.43,157.75,158.11,70290000,1
AMZN,2021-01-08,159.00,159.53,157.11,159.13,70754000,1
AMZN,2021-01-11,157.40,157.82,155.50,155.71,73668000,1
AMZN,2021-01-12,156.00,157.11,154.30,156.04,70292000,1
AMZN,2021-01-13,156.42,159.50,156.10,158.29,66424000,1
AMZN,2021-01-14,158.38,158.90,156.03,156.37,61418000,1
AMZN,2021-01-15,156.15,157.13,154.76,155.21,84880000,1
AMZN,2021-01-19,155.35,157.25,154.80,156.04,66102000,1
AMZN,2021-01-20,159.10,163.99,158.75,163.17,106196000,1
AMZN,2021-01-21,164.65,167.43,164.48,165.35,98722000,1
AMZN,2021-01-22,165.22,166.10,164.16,164.61,56438000,1
AMZN,2021-01-25,166.43,168.19,162.16,164.70,74996000,1
AMZN,2021-01-26,164.82,166.90,164.14,166.31,59104000,1
AMZN,2021-01-27,167.07,167.33,160.35,161.63,93204000,1
AMZN,2021-01-28,161.75,165.08,161.43,161.88,62984000,1
AMZN,2021-01-29,161.50,161.85,159.23,160.31,85872000,1
AMZN,2021-02-01,162.12,167.51,161.75,167.14,83204000,1
AMZN,2021-02-02,169.00,171.39,168.06,169.00,141972000,1
AMZN,2021-02-03,171.25,171.70,165.43,165.63,141776000,1
AMZN,2021-02-04,166.50,167.35,163.89,166.55,73414000,1
AMZN,2021-02-05,165.95,168.85,165.14,167.61,72416000,1
AMZN,2021-02-08,167.93,168.25,165.20,166.15,65148000,1
AMZN,2021-02-09,165.62,166.90,164.89,165.25,44070000,1
AMZN,2021-02-10,165.70,165.90,162.70,164.33,63032000,1
AMZN,2021-02-11,164.60,164.60,162.40,163.11,46028000,1
AMZN,2021-02-12,162.50,164.01,161.67,163.89,46706000,1
AMZN,2021-02-16,162.70,165.41,162.68,163.45,51494000,1
AMZN,2021-02-17,163.18,166.05,162.98,165.43,65950000,1
AMZN,2021-02-18,164.12,166.90,163.70,166.41,60548000,1
AMZN,2021-02-19,166.41,166.68,162.29,162.49,86104000,1
AMZN,2021-02-22,160.41,161.62,158.61,159.04,70314000,1
AMZN,2021-02-23,156.35,160.24,154.68,159.73,93544000,1
AMZN,2021-02-24,158.34,158.56,156.27,157.98,60226000,1
AMZN,2021-02-25,156.84,158.91,152.39,152.86,90676000,1
AMZN,2021-02-26,154.76,156.12,151.84,154.65,85518000,1
AMZN,2021-03-01,156.39,157.48,154.90,157.31,54582000,1
AMZN,2021-03-02,157.17,158.18,154.36,154.73,51916000,1
AMZN,2021-03-03,154.06,155.39,149.75,150.25,79774000,1
AMZN,2021-03-04,150.60,152.91,147.27,148.88,109632000,1
AMZN,2021-03-05,150.25,150.45,144.05,150.02,107772000,1
AMZN,2021-03-08,150.75,153.23,147.57,147.60,83700000,1
AMZN,2021-03-09,150.90,154.55,150.26,153.14,80600000,1
AMZN,2021-03-10,154.92,155.82,151.50,152.88,60250000,1
AMZN,2021-03-11,155.20,156.59,154.15,155.68,55528000,1
AMZN,2021-03-12,153.75,154.95,152.27,154.47,48438000,1
AMZN,2021-03-15,153.73,154.11,151.60,154.08,58272000,1
AMZN,2021-03-16,155.25,156.45,153.79,154.59,50776000,1
AMZN,2021-03-17,153.66,158.65,153.51,156.79,62372000,1
AMZN,2021-03-18,155.05,155.83,151.25,151.40,72992000,1
AMZN,2021-03-19,151.46,153.86,150.83,153.75,92508000,1
AMZN,2021-03-22,153.39,156.33,153.00,155.54,58044000,1
AMZN,2021-03-23,156.35,159.10,156.04,156.88,76346000,1
AMZN,2021-03-24,157.55,158.02,154.26,154.35,59180000,1
AMZN,2021-03-25,153.65,155.49,151.86,152.31,71270000,1
AMZN,2021-03-26,152.20,152.83,149.80,152.60,66258000,1
AMZN,2021-03-29,152.77,154.56,151.42,153.79,54920000,1
AMZN,2021-03-30,153.50,153.65,151.70,152.76,46752000,1
AMZN,2021-03-31,153.20,155.97,153.12,154.70,61878000,1
AMZN,2021-04-01,155.90,158.12,155.78,158.05,58806000,1
AMZN,2021-04-05,158.65,161.80,158.06,161.34,66698000,1
AMZN,2021-04-06,161.19,162.37,160.85,161.19,50756000,1
AMZN,2021-04-07,161.69,165.18,161.18,163.97,66924000,1
AMZN,2021-04-08,165.54,166.23,164.60,164.96,56242000,1
AMZN,2021-04-09,165.24,168.61,164.45,168.61,86830000,1
AMZN,2021-04-12,167.76,169.75,167.56,168.97,65636000,1
AMZN,2021-04-13,170.04,171.60,169.78,170.00,66316000,1
AMZN,2021-04-14,170.20,170.21,166.30,166.65,62904000,1
AMZN,2021-04-15,168.55,169.85,167.60,168.95,64672000,1
AMZN,2021-04-16,169.00,170.34,167.78,169.97,63720000,1
AMZN,2021-04-19,169.52,171.80,168.01,168.60,54508000,1
AMZN,2021-04-20,168.68,169.15,165.80,166.73,52460000,1
AMZN,2021-04-21,165.80,168.14,165.19,168.10,44224000,1
AMZN,2021-04-22,168.58,168.64,165.07,165.45,51612000,1
AMZN,2021-04-23,165.96,168.75,165.43,167.04,63856000,1
AMZN,2021-04-26,167.40,171.42,166.55,170.45,97614000,1
AMZN,2021-04-27,172.17,173.00,169.90,170.87,76542000,1
