symbol,date,open,high,low,close,volume,factor
DJI,2021-01-04,30627.47,30674.28,29881.82,30223.89,475080000,1
DJI,2021-01-05,30204.25,30504.89,30141.78,30391.60,350910000,1
DJI,2021-01-06,30362.78,31022.65,30313.07,30829.40,500430000,1
DJI,2021-01-07,30901.18,31193.40,30897.86,31041.13,427810000,1
DJI,2021-01-08,31069.58,31140.67,30793.27,31097.97,381150000,1
DJI,2021-01-11,31015.37,31096.98,30832.06,31008.69,356540000,1
DJI,2021-01-12,31015.01,31114.56,30888.76,31068.69,362620000,1
DJI,2021-01-13,31084.88,31153.37,30992.05,31060.47,413250000,1
DJI,2021-01-14,31085.67,31223.78,30982.24,30991.52,427810000,1
DJI,2021-01-15,30926.77,30941.98,30612.67,30814.26,433000000,1
DJI,2021-01-19,30887.42,31086.62,30865.03,30930.52,386400000,1
DJI,2021-01-20,31017.54,31235.98,30997.79,31188.38,384980000,1
DJI,2021-01-21,31198.01,31272.22,31120.92,31176.01,418780000,1
DJI,2021-01-22,31141.56,31141.56,30908.47,30996.98,436040000,1
DJI,2021-01-25,30989.85,30989.85,30564.06,30960.00,472890000,1
DJI,2021-01-26,30968.55,31121.42,30921.71,30937.04,373150000,1
DJI,2021-01-27,30893.78,30893.78,30206.91,30303.17,566470000,1
DJI,2021-01-28,30377.19,30951.41,30377.19,30603.36,465140000,1
DJI,2021-01-29,30553.91,30553.91,29856.30,29982.62,536320000,1
DJI,2021-02-01,30054.73,30335.91,30014.97,30211.91,347060000,1
DJI,2021-02-02,30276.88,30840.54,30276.88,30687.48,333160000,1
DJI,2021-02-03,30689.65,30793.41,30521.31,30723.60,305590000,1
DJI,2021-02-04,30737.78,31065.96,30737.78,31055.86,338330000,1
DJI,2021-02-05,31093.81,31252.18,31083.22,31148.24,293550000,1
DJI,2021-02-08,31191.20,31386.10,31191.20,31385.76,322250000,1
DJI,2021-02-09,31359.88,31439.47,31245.86,31375.83,308210000,1
DJI,2021-02-10,31428.02,31511.44,31221.32,31437.80,326450000,1
DJI,2021-02-11,31466.49,31543.82,31244.36,31430.70,280320000,1
DJI,2021-02-12,31420.80,31475.31,31347.80,31458.40,263090000,1
DJI,2021-02-16,31472.08,31608.63,31443.48,31522.75,329210000,1
DJI,2021-02-17,31485.61,31643.70,31338.76,31613.02,343510000,1
DJI,2021-02-18,31558.60,31558.60,31285.32,31493.34,325990000,1
