symbol,date,open,high,low,close,volume,factor
GOOGL,2021-01-04,88.00,88.12,85.36,86.31,37324000,1
GOOGL,2021-01-05,86.25,87.34,85.85,87.00,20360000,1
GOOGL,2021-01-06,85.01,87.20,84.81,86.14,46588000,1
GOOGL,2021-01-07,86.34,88.89,86.34,88.72,41936000,1
GOOGL,2021-01-08,88.86,89.97,88.06,89.89,35484000,1
GOOGL,2021-01-11,88.85,89.22,87.61,87.81,34796000,1
GOOGL,2021-01-12,87.27,88.39,85.82,86.87,29528000,1
GOOGL,2021-01-13,86.37,87.82,86.37,87.36,23432000,1
GOOGL,2021-01-14,87.44,88.38,86.30,86.55,29212000,1
GOOGL,2021-01-15,86.45,87.38,85.59,86.38,31444000,1
GOOGL,2021-01-19,87.15,90.19,86.64,89.22,41660000,1
GOOGL,2021-01-20,91.32,94.99,90.98,94.00,64152000,1
GOOGL,2021-01-21,94.68,96.60,93.97,94.21,58634000,1
GOOGL,2021-01-22,94.57,95.22,93.82,94.63,32744000,1
GOOGL,2021-01-25,95.64,96.09,92.96,94.71,50586000,1
GOOGL,2021-01-26,94.30,95.79,93.81,95.40,31462000,1
GOOGL,2021-01-27,93.75,94.02,89.86,90.95,82512000,1
GOOGL,2021-01-28,91.55,94.40,91.55,92.66,55278000,1
GOOGL,2021-01-29,91.70,92.38,90.08,91.37,44530000,1
GOOGL,2021-02-01,92.23,95.78,92.23,94.65,40252000,1
GOOGL,2021-02-02,95.66,97.47,95.32,95.96,66332000,1
GOOGL,2021-02-03,103.28,105.33,100.68,102.94,97882000,1
GOOGL,2021-02-04,103.03,103.46,101.75,102.68,48596000,1
GOOGL,2021-02-05,102.98,104.80,102.50,104.44,29866000,1
GOOGL,2021-02-08,105.00,105.75,103.17,104.23,28828000,1
GOOGL,2021-02-09,103.74,104.93,103.50,103.77,21892000,1
GOOGL,2021-02-10,104.16,104.94,102.61,104.32,25102000,1
GOOGL,2021-02-11,104.55,104.70,103.44,104.44,20480000,1
GOOGL,2021-02-12,103.99,104.97,103.68,104.75,18990000,1
GOOGL,2021-02-16,104.59,107.26,104.59,105.54,31004000,1
GOOGL,2021-02-17,104.70,106.12,104.42,105.93,20294000,1
GOOGL,2021-02-18,105.25,106.10,104.67,105.29,22546000,1
GOOGL,2021-02-19,105.39,105.93,104.17,104.44,37938000,1
GOOGL,2021-02-22,102.68,104.02,102.40,102.71,29466000,1
GOOGL,2021-02-23,100.70,103.62,99.51,103.01,34658000,1
GOOGL,2021-02-24,101.50,104.42,101.38,104.19,22608000,1
GOOGL,2021-02-25,102.80,104.15,100.32,100.80,41548000,1
GOOGL,2021-02-26,101.50,102.83,100.05,101.10,40042000,1
GOOGL,2021-03-01,102.40,103.81,101.72,103.48,26060000,1
GOOGL,2021-03-02,103.24,104.74,102.83,103.22,25564000,1
GOOGL,2021-03-03,102.60,103.80,99.70,100.57,33892000,1
GOOGL,2021-03-04,100.74,103.73,100.27,101.70,49216000,1
GOOGL,2021-03-05,103.06,105.31,101.39,104.85,53100000,1
