symbol,date,open,high,low,close,volume,factor
JNJ,2021-01-04,157.24,157.38,154.13,156.50,11765900,1
JNJ,2021-01-05,156.25,158.76,155.07,158.34,9602300,1
JNJ,2021-01-06,157.24,160.23,156.72,159.83,8230100,1
JNJ,2021-01-07,159.00,161.03,158.35,160.37,7747200,1
JNJ,2021-01-08,160.51,161.10,159.88,160.04,8228900,1
JNJ,2021-01-11,160.56,161.32,158.77,159.37,7066200,1
JNJ,2021-01-12,159.15,159.66,157.33,158.13,6903200,1
JNJ,2021-01-13,158.23,158.46,156.75,157.89,6643100,1
JNJ,2021-01-14,160.45,161.95,159.61,160.65,10030800,1
JNJ,2021-01-15,160.30,161.41,159.11,160.30,7630800,1
JNJ,2021-01-19,162.00,163.04,161.10,162.78,9057600,1
JNJ,2021-01-20,163.20,164.14,161.80,162.38,6839900,1
JNJ,2021-01-21,161.32,162.48,160.06,161.73,6818000,1
JNJ,2021-01-22,162.36,165.16,161.87,163.55,8137000,1
JNJ,2021-01-25,165.01,166.09,163.66,165.98,9924400,1
JNJ,2021-01-26,169.70,173.65,169.39,170.48,14205700,1
JNJ,2021-01-27,169.12,170.92,167.45,167.88,14207300,1
JNJ,2021-01-28,168.20,170.86,167.80,169.16,8944400,1
JNJ,2021-01-29,164.26,166.00,160.55,163.13,22505900,1
JNJ,2021-02-01,165.31,165.31,162.60,162.71,9971400,1
JNJ,2021-02-02,163.38,163.66,161.18,161.25,11443300,1
JNJ,2021-02-03,160.94,161.52,159.57,160.50,8601900,1
JNJ,2021-02-04,161.00,162.09,159.76,161.99,7758100,1
JNJ,2021-02-05,164.86,165.44,163.86,164.45,9495300,1
JNJ,2021-02-08,165.03,165.92,163.88,164.92,6035300,1
JNJ,2021-02-09,165.20,166.59,164.97,166.27,5544200,1
JNJ,2021-02-10,167.89,167.94,165.70,166.81,5921300,1
JNJ,2021-02-11,167.00,167.38,165.60,166.06,4871300,1
JNJ,2021-02-12,164.40,166.85,164.00,166.58,4413100,1
JNJ,2021-02-16,166.58,167.05,164.64,165.07,5656100,1
JNJ,2021-02-17,164.97,166.09,164.36,165.66,6676700,1
JNJ,2021-02-18,164.96,166.16,164.30,165.74,5189100,1
JNJ,2021-02-19,165.60,165.96,162.91,162.98,8190900,1
JNJ,2021-02-22,161.87,162.54,160.29,161.87,6447100,1
JNJ,2021-02-23,161.48,163.19,160.40,160.44,7042800,1
JNJ,2021-02-24,162.40,164.39,160.92,162.59,10286100,1
JNJ,2021-02-25,163.13,163.70,161.99,162.76,9719700,1
JNJ,2021-02-26,162.00,162.41,157.97,158.46,14417500,1
JNJ,2021-03-01,161.45,161.53,159.09,159.32,10551400,1
JNJ,2021-03-02,159.78,160.78,158.60,159.02,7610900,1
JNJ,2021-03-03,158.25,158.90,156.06,156.22,8499600,1
JNJ,2021-03-04,155.99,156.10,151.47,153.07,11033200,1
JNJ,2021-03-05,153.98,156.69,153.13,156.10,8331600,1
JNJ,2021-03-08,157.00,159.33,155.98,157.40,6546700,1
JNJ,2021-03-09,156.89,160.75,156.89,157.70,7461300,1
JNJ,2021-03-10,158.82,159.90,157.36,159.15,6635600,1
JNJ,2021-03-11,159.54,160.63,158.92,159.14,6305600,1
JNJ,2021-03-12,159.28,160.31,159.19,159.60,5474800,1
JNJ,2021-03-15,159.75,160.66,158.50,160.42,5524100,1
JNJ,2021-03-16,160.46,161.68,160.24,161.37,6369100,1
JNJ,2021-03-17,160.83,161.73,159.53,160.77,6001400,1
JNJ,2021-03-18,160.21,161.49,159.96,160.47,4801800,1
JNJ,2021-03-19,160.69,161.50,159.47,160.04,14891500,1
JNJ,2021-03-22,158.31,160.65,158.00,160.50,7544100,1
JNJ,2021-03-23,160.21,161.20,158.88,160.35,7178300,1
JNJ,2021-03-24,160.10,162.48,159.82,161.91,6370100,1
JNJ,2021-03-25,162.44,162.45,160.64,161.97,6269800,1
JNJ,2021-03-26,162.09,165.10,161.38,164.93,7619200,1
JNJ,2021-03-29,163.83,167.03,163.63,166.04,8535100,1
JNJ,2021-03-30,165.02,165.66,164.23,165.01,7236300,1
JNJ,2021-03-31,164.96,165.39,163.70,164.35,8281500,1
JNJ,2021-04-01,162.60,163.84,162.26,162.83,7229700,1
JNJ,2021-04-05,163.64,164.75,162.66,163.43,7387100,1
JNJ,2021-04-06,164.08,164.52,163.00,163.39,5074200,1
JNJ,2021-04-07,163.55,164.28,163.32,163.61,4608000,1
JNJ,2021-04-08,164.00,164.11,162.85,162.97,5039400,1
JNJ,2021-04-09,162.12,162.93,159.78,161.25,8418300,1
JNJ,2021-04-12,161.09,162.08,160.34,161.64,5022800,1
JNJ,2021-04-13,156.86,159.93,156.53,159.48,18424100,1
JNJ,2021-04-14,157.83,160.11,157.54,159.92,7718300,1
JNJ,2021-04-15,160.72,162.39,160.23,160.39,7524600,1
JNJ,2021-04-16,161.34,162.51,160.56,162.24,9049400,1
JNJ,2021-04-19,162.50,163.11,160.84,162.69,8353500,1
JNJ,2021-04-20,161.00,167.79,161.00,166.48,14050700,1
JNJ,2021-04-21,166.37,166.91,165.29,166.59,6333200,1
JNJ,2021-04-22,165.84,166.28,164.62,165.18,7233000,1
JNJ,2021-04-23,164.53,166.06,164.00,165.52,6015300,1
JNJ,2021-04-26,165.21,165.41,163.76,164.12,6027800,1
JNJ,2021-04-27,163.76,163.91,162.47,163.18,6217700,1
JNJ,2021-04-28,162.86,163.20,161.65,161.98,7448000,1
JNJ,2021-04-29,161.90,164.26,161.81,164.20,6394300,1
JNJ,2021-04-30,164.15,164.33,162.52,162.73,9079100,1
JNJ,2021-05-03,163.60,165.32,163.12,165.21,6594100,1
JNJ,2021-05-04,164.83,167.85,164.67,167.77,10179500,1
JNJ,2021-05-05,167.50,168.40,166.79,167.07,7792300,1
JNJ,2021-05-06,166.79,167.89,166.24,167.74,5529900,1
JNJ,2021-05-07,168.30,169.18,167.83,168.50,5316200,1
JNJ,2021-05-10,169.90,171.53,169.23,170.27,8357500,1
JNJ,2021-05-11,170.65,170.87,168.28,168.88,8217900,1
JNJ,2021-05-12,168.54,169.80,167.95,168.20,6758300,1
JNJ,2021-05-13,166.97,170.70,166.97,169.96,8018600,1
JNJ,2021-05-14,171.48,171.61,170.17,170.22,5797700,1
JNJ,2021-05-17,170.40,171.89,170.31,170.39,5722600,1
JNJ,2021-05-18,169.98,171.37,169.53,170.45,5846000,1
JNJ,2021-05-19,169.91,170.16,168.04,170.08,5533800,1
JNJ,2021-05-20,169.94,171.59,169.69,171.07,4853200,1
JNJ,2021-05-21,171.33,172.74,170.87,170.96,6501800,1
JNJ,2021-05-24,170.90,171.35,169.77,170.55,5195100,1
JNJ,2021-05-25,170.67,171.03,169.74,170.08,7444700,1
JNJ,2021-05-26,170.00,170.08,168.28,169.07,5726400,1
JNJ,2021-05-27,169.26,170.17,168.38,168.81,8114700,1
JNJ,2021-05-28,169.52,171.01,169.17,169.25,6400800,1
JNJ,2021-06-01,170.15,170.20,165.38,165.53,10448400,1
JNJ,2021-06-02,165.30,166.73,165.11,166.20,6806000,1
JNJ,2021-06-03,165.89,167.15,165.71,166.04,5808800,1
JNJ,2021-06-04,167.01,167.57,165.87,165.97,6510300,1
JNJ,2021-06-07,166.00,166.32,164.63,164.84,5362800,1
JNJ,2021-06-08,165.28,165.66,162.07,163.39,7746800,1
JNJ,2021-06-09,163.99,165.78,163.66,165.59,5552600,1
JNJ,2021-06-10,166.00,167.58,165.95,167.08,6463100,1
JNJ,2021-06-11,167.07,167.08,164.22,164.96,7389900,1
JNJ,2021-06-14,164.50,165.46,163.90,165.37,4931300,1
JNJ,2021-06-15,165.23,165.86,164.39,164.49,5062900,1
JNJ,2021-06-16,164.80,165.75,163.48,164.43,6988500,1
JNJ,2021-06-17,164.19,165.70,163.50,165.22,5874700,1
JNJ,2021-06-18,163.27,164.19,161.79,161.98,12993000,1
JNJ,2021-06-21,162.77,164.26,162.25,163.84,6592300,1
JNJ,2021-06-22,163.71,164.04,163.28,163.62,5627800,1
JNJ,2021-06-23,163.69,163.69,162.48,162.63,4493400,1
JNJ,2021-06-24,163.27,164.20,162.80,163.37,4549200,1
JNJ,2021-06-25,162.94,164.78,162.89,164.21,10963800,1
JNJ,2021-06-28,164.44,165.07,163.52,164.02,5604000,1
JNJ,2021-06-29,164.00,164.64,163.41,164.03,3749500,1
JNJ,2021-06-30,164.00,164.97,163.67,164.74,6151700,1
JNJ,2021-07-01,164.74,166.01,164.63,165.96,6320200,1
JNJ,2021-07-02,166.02,169.30,165.64,168.98,9059900,1
JNJ,2021-07-06,167.91,168.86,166.99,167.97,6098500,1
JNJ,2021-07-07,167.48,169.50,167.48,169.41,6293500,1
JNJ,2021-07-08,168.70,169.46,167.58,169.08,5755500,1
JNJ,2021-07-09,169.37,170.37,169.24,169.75,6120900,1
JNJ,2021-07-12,169.73,171.18,168.54,169.48,7840500,1
JNJ,2021-07-13,168.97,169.76,168.67,169.27,4691200,1
JNJ,2021-07-14,170.00,170.83,169.04,170.42,6162900,1
JNJ,2021-07-15,169.30,169.90,167.72,168.37,6656900,1
JNJ,2021-07-16,168.34,169.09,167.95,168.10,5834900,1
JNJ,2021-07-19,166.48,168.19,165.32,166.88,8219700,1
JNJ,2021-07-20,166.90,170.81,166.84,168.45,9902800,1
JNJ,2021-07-21,169.30,169.69,167.48,169.49,7585200,1
JNJ,2021-07-22,169.36,171.07,168.65,169.98,5281900,1
JNJ,2021-07-23,171.00,172.18,170.38,171.79,5014900,1
