symbol,date,open,high,low,close,volume,factor
JPM,2021-01-04,127.50,127.86,124.78,125.87,16819900,1
JPM,2021-01-05,124.99,126.30,123.77,125.65,13731200,1
JPM,2021-01-06,129.88,132.77,127.88,131.55,24909100,1
JPM,2021-01-07,135.69,138.19,134.92,135.87,21940400,1
JPM,2021-01-08,135.97,136.35,134.12,136.02,12035100,1
JPM,2021-01-11,134.58,138.20,134.11,138.05,15937900,1
JPM,2021-01-12,139.44,141.66,138.83,140.22,18033500,1
JPM,2021-01-13,138.59,140.79,138.10,140.35,14816800,1
JPM,2021-01-14,140.49,142.75,140.00,141.17,18565600,1
JPM,2021-01-15,137.43,141.65,137.01,138.64,27881000,1
JPM,2021-01-19,139.86,140.70,137.82,138.04,19843800,1
JPM,2021-01-20,137.82,138.17,135.44,135.97,16028800,1
JPM,2021-01-21,135.69,136.16,134.32,134.83,13411700,1
JPM,2021-01-22,132.69,134.40,132.20,133.79,12933200,1
JPM,2021-01-25,132.14,133.17,130.06,132.12,14212800,1
JPM,2021-01-26,132.75,133.17,131.34,131.58,11307800,1
JPM,2021-01-27,129.59,129.85,127.35,127.86,17603900,1
JPM,2021-01-28,129.90,132.17,128.99,130.11,13761800,1
JPM,2021-01-29,131.19,131.72,128.19,128.67,14808100,1
JPM,2021-02-01,129.40,130.07,128.48,129.62,11080700,1
JPM,2021-02-02,131.94,134.39,131.22,133.61,12253600,1
JPM,2021-02-03,133.65,135.76,133.51,135.14,10600800,1
JPM,2021-02-04,135.47,138.66,135.47,138.25,12419500,1
JPM,2021-02-05,139.39,139.49,137.38,137.98,10051300,1
JPM,2021-02-08,138.20,140.30,138.18,140.14,10136400,1
JPM,2021-02-09,139.43,139.98,138.54,139.58,8614800,1
JPM,2021-02-10,140.00,140.87,139.04,139.66,10323200,1
JPM,2021-02-11,139.66,140.55,138.22,139.27,9201000,1
JPM,2021-02-12,139.05,141.61,139.00,141.25,8324600,1
JPM,2021-02-16,143.55,145.32,142.40,144.65,12130600,1
JPM,2021-02-17,143.95,145.38,143.12,145.10,10810100,1
JPM,2021-02-18,144.00,145.79,143.40,145.59,10587800,1
JPM,2021-02-19,145.86,148.84,145.86,148.02,11969800,1
JPM,2021-02-22,146.87,150.19,146.79,149.41,11488400,1
JPM,2021-02-23,151.51,152.31,149.59,150.61,16234400,1
JPM,2021-02-24,150.11,153.76,150.11,153.26,15061400,1
JPM,2021-02-25,154.27,154.90,150.59,151.18,18127700,1
JPM,2021-02-26,150.30,150.87,146.51,147.17,19829200,1
JPM,2021-03-01,149.52,151.38,148.48,150.50,14845500,1
JPM,2021-03-02,150.08,151.78,149.84,150.01,14221700,1
JPM,2021-03-03,151.23,154.98,150.82,152.91,14324100,1
JPM,2021-03-04,152.61,154.38,148.62,150.56,20093900,1
JPM,2021-03-05,153.22,153.49,147.97,150.91,18465100,1
JPM,2021-03-08,152.47,155.46,150.75,152.91,17133300,1
JPM,2021-03-09,151.50,154.25,149.82,151.83,16238800,1
JPM,2021-03-10,151.91,156.16,151.51,155.13,14342200,1
JPM,2021-03-11,154.11,156.15,153.36,154.32,11771500,1
JPM,2021-03-12,156.86,157.63,155.07,156.15,12849500,1
JPM,2021-03-15,156.35,156.92,153.96,155.37,12101100,1
JPM,2021-03-16,154.09,154.60,152.19,153.51,12805600,1
JPM,2021-03-17,155.34,156.88,153.05,155.09,13952400,1
JPM,2021-03-18,157.60,161.69,157.11,157.65,21898500,1
JPM,2021-03-19,155.51,155.94,151.19,155.14,54418800,1
JPM,2021-03-22,152.80,153.97,150.61,150.97,19944800,1
JPM,2021-03-23,150.33,152.12,148.96,149.46,17076300,1
JPM,2021-03-24,150.00,153.18,149.86,150.62,13079800,1
JPM,2021-03-25,150.00,152.97,149.33,152.55,15608300,1
JPM,2021-03-26,154.30,155.45,152.55,155.09,16754400,1
JPM,2021-03-29,152.12,153.73,151.04,152.68,17570300,1
JPM,2021-03-30,154.46,155.87,153.88,154.48,13184300,1
JPM,2021-03-31,153.28,154.49,152.12,152.23,16736700,1
JPM,2021-04-01,151.90,153.79,151.55,153.71,16561500,1
JPM,2021-04-05,154.40,154.94,152.60,153.62,13508000,1
JPM,2021-04-06,152.79,154.28,151.86,152.54,13071600,1
JPM,2021-04-07,153.10,155.23,152.65,154.93,16903500,1
JPM,2021-04-08,154.00,155.51,152.31,155.12,12335500,1
JPM,2021-04-09,155.81,157.04,154.97,156.28,12122400,1
JPM,2021-04-12,155.58,157.25,155.57,155.95,12273400,1
JPM,2021-04-13,154.75,155.20,152.43,154.09,16113600,1
JPM,2021-04-14,151.47,153.83,150.93,151.21,19939600,1
JPM,2021-04-15,151.25,152.20,149.32,152.17,17694100,1
JPM,2021-04-16,153.87,154.51,152.69,153.30,13773400,1
JPM,2021-04-19,153.42,153.88,152.22,152.65,11900200,1
JPM,2021-04-20,151.74,151.75,148.65,149.27,13716700,1
JPM,2021-04-21,147.79,150.61,146.79,150.54,12236700,1
JPM,2021-04-22,150.23,150.30,147.26,147.37,15256100,1
JPM,2021-04-23,147.18,151.13,146.69,150.19,14041900,1
JPM,2021-04-26,150.78,152.46,150.38,150.56,10799100,1
JPM,2021-04-27,150.50,151.57,150.11,151.25,12821200,1
JPM,2021-04-28,152.43,152.89,151.40,152.23,8943700,1
JPM,2021-04-29,153.54,155.28,153.20,155.19,12976900,1
JPM,2021-04-30,154.10,154.49,153.01,153.81,11705100,1
JPM,2021-05-03,154.85,155.48,153.13,153.36,11801100,1
JPM,2021-05-04,152.87,155.64,152.14,155.48,12977700,1
JPM,2021-05-05,156.00,158.28,154.63,157.52,10506700,1
JPM,2021-05-06,158.07,160.82,157.16,160.69,13542400,1
JPM,2021-05-07,157.22,161.50,157.02,161.24,14257800,1
JPM,2021-05-10,161.50,163.73,161.12,161.22,14014300,1
JPM,2021-05-11,161.08,162.39,158.04,158.54,15451700,1
JPM,2021-05-12,159.61,160.78,157.03,157.45,14381700,1
JPM,2021-05-13,158.18,162.45,157.68,161.50,15395000,1
JPM,2021-05-14,162.39,164.45,161.99,164.01,10584000,1
JPM,2021-05-17,163.37,164.85,163.03,164.67,9886800,1
JPM,2021-05-18,164.68,165.50,162.24,162.35,11098100,1
JPM,2021-05-19,161.00,161.18,158.64,161.11,13278900,1
JPM,2021-05-20,160.83,161.86,159.52,160.83,10426000,1
JPM,2021-05-21,161.34,163.22,160.94,162.66,10249000,1
JPM,2021-05-24,163.36,164.23,162.12,163.54,9440300,1
JPM,2021-05-25,163.85,165.70,161.56,161.85,12609100,1
JPM,2021-05-26,163.57,163.74,161.31,161.83,13058300,1
JPM,2021-05-27,163.95,164.75,162.57,164.35,15707500,1
JPM,2021-05-28,164.68,164.94,163.26,164.24,10291300,1
JPM,2021-06-01,165.87,166.91,165.48,166.05,9445400,1
JPM,2021-06-02,167.26,167.44,165.53,166.06,10498600,1
JPM,2021-06-03,165.41,167.25,164.66,166.17,13354400,1
JPM,2021-06-04,166.21,166.67,165.03,166.44,8510800,1
JPM,2021-06-07,167.00,167.10,165.14,165.66,7267200,1
JPM,2021-06-08,164.49,165.76,163.16,165.00,10370700,1
JPM,2021-06-09,164.14,164.22,162.28,162.94,12377400,1
JPM,2021-06-10,164.36,165.24,160.31,160.40,12119400,1
JPM,2021-06-11,160.43,161.20,159.06,160.29,13683800,1
JPM,2021-06-14,160.15,160.33,156.66,157.57,19917900,1
JPM,2021-06-15,156.70,156.92,154.13,155.18,24485500,1
JPM,2021-06-16,154.73,157.62,153.11,156.27,25321200,1
JPM,2021-06-17,157.10,157.46,151.25,151.76,29722400,1
JPM,2021-06-18,149.30,149.70,147.56,147.92,43595700,1
JPM,2021-06-21,149.08,151.20,149.02,150.43,18664800,1
JPM,2021-06-22,150.60,150.97,148.66,150.21,14251200,1
JPM,2021-06-23,150.20,152.04,150.09,151.12,12733300,1
JPM,2021-06-24,151.92,153.12,151.22,152.51,13733200,1
JPM,2021-06-25,152.59,154.50,151.67,154.05,15484900,1
JPM,2021-06-28,153.70,154.48,152.12,154.33,14125800,1
JPM,2021-06-29,155.00,156.31,153.61,154.14,14528700,1
JPM,2021-06-30,153.75,156.08,153.71,155.54,12531000,1
JPM,2021-07-01,156.26,157.14,155.42,157.08,10479400,1
JPM,2021-07-02,155.95,156.32,155.12,156.03,11424000,1
JPM,2021-07-06,155.78,155.78,152.35,153.41,15083400,1
JPM,2021-07-07,152.01,154.28,151.55,153.59,12271800,1
JPM,2021-07-08,151.61,152.53,150.04,150.94,17834600,1
JPM,2021-07-09,153.05,156.15,152.58,155.77,13694500,1
JPM,2021-07-12,154.35,159.16,153.94,158.00,19940400,1
JPM,2021-07-13,156.05,157.39,153.50,155.65,22671700,1
JPM,2021-07-14,155.95,157.28,152.95,155.12,14622800,1
JPM,2021-07-15,153.90,156.53,153.70,155.46,11539300,1
JPM,2021-07-16,155.96,156.28,151.02,151.91,14002700,1
JPM,2021-07-19,148.55,149.82,145.71,146.97,22172900,1
JPM,2021-07-20,146.52,151.12,146.33,149.71,15385200,1
JPM,2021-07-21,152.05,153.65,151.36,152.86,12356700,1
JPM,2021-07-22,152.88,153.44,149.97,150.93,9913300,1
JPM,2021-07-23,151.48,152.84,150.25,150.64,9666100,1
JPM,2021-07-26,150.19,151.96,150.17,151.65,8208000,1
JPM,2021-07-27,150.40,152.49,149.80,151.45,11218700,1
JPM,2021-07-28,152.29,152.77,150.88,151.70,9217300,1
JPM,2021-07-29,153.14,153.87,151.91,153.00,9063500,1
JPM,2021-07-30,152.58,153.67,151.20,151.78,9805200,1
JPM,2021-08-02,152.03,154.45,151.07,151.17,10203200,1
JPM,2021-08-03,151.95,153.32,149.52,152.89,10394800,1
JPM,2021-08-04,151.25,153.37,150.91,151.24,10155000,1
JPM,2021-08-05,152.28,153.69,152.01,153.15,9151500,1
JPM,2021-08-06,155.19,157.82,155.11,157.50,13328800,1
JPM,2021-08-09,157.52,158.55,155.90,157.33,9516900,1
JPM,2021-08-10,156.74,159.98,156.31,159.26,8667000,1
JPM,2021-08-11,160.00,161.50,159.08,161.16,9156500,1
JPM,2021-08-12,161.88,162.37,160.55,161.79,8844200,1
JPM,2021-08-13,161.79,162.16,159.57,159.98,8980900,1
JPM,2021-08-16,158.94,159.03,156.78,158.93,8755800,1
JPM,2021-08-17,157.57,158.86,155.27,157.01,9347200,1
JPM,2021-08-18,156.31,158.01,155.34,155.58,8065500,1
JPM,2021-08-19,153.16,155.56,153.01,154.28,9517700,1
JPM,2021-08-20,154.35,154.90,153.16,154.72,6974100,1
JPM,2021-08-23,155.33,157.09,155.24,156.70,7934600,1
JPM,2021-08-24,157.00,158.55,156.87,157.67,7670900,1
JPM,2021-08-25,158.51,161.78,157.80,160.92,11335000,1
JPM,2021-08-26,162.26,163.83,161.15,161.75,11027500,1
JPM,2021-08-27,161.75,163.16,161.26,163.05,8780200,1
JPM,2021-08-30,163.21,163.49,159.88,160.44,7937600,1
JPM,2021-08-31,160.44,161.37,159.35,159.95,12340800,1
JPM,2021-09-01,160.22,160.76,158.97,159.72,8729900,1
JPM,2021-09-02,160.02,161.61,159.43,160.46,8813300,1
JPM,2021-09-03,160.39,160.89,159.15,159.49,7959700,1
