symbol,date,open,high,low,close,volume,factor
MSFT,2021-01-04,222.53,223.00,214.81,217.69,37130100,1
MSFT,2021-01-05,217.26,218.52,215.70,217.90,23823000,1
MSFT,2021-01-06,212.17,216.49,211.94,212.25,35930700,1
MSFT,2021-01-07,214.04,219.34,213.71,218.29,27694500,1
MSFT,2021-01-08,218.68,220.58,217.03,219.62,22956200,1
MSFT,2021-01-11,218.47,218.91,216.73,217.49,23031300,1
MSFT,2021-01-12,216.50,217.10,213.32,214.93,23249300,1
MSFT,2021-01-13,214.02,216.76,213.93,216.34,20087100,1
MSFT,2021-01-14,215.91,217.46,212.74,213.02,29480800,1
MSFT,2021-01-15,213.52,214.51,212.03,212.65,31746500,1
MSFT,2021-01-19,213.75,216.98,212.63,216.44,30480900,1
MSFT,2021-01-20,217.70,225.79,217.29,224.34,37777300,1
MSFT,2021-01-21,224.70,226.30,222.42,224.97,30709400,1
MSFT,2021-01-22,227.08,230.07,225.80,225.95,30172700,1
MSFT,2021-01-25,229.12,229.78,224.22,229.53,33152100,1
MSFT,2021-01-26,231.86,234.18,230.08,232.33,49169600,1
MSFT,2021-01-27,238.00,240.44,230.14,232.90,69870600,1
MSFT,2021-01-28,235.61,242.64,235.09,238.93,49111200,1
MSFT,2021-01-29,235.99,238.02,231.35,231.96,42503100,1
MSFT,2021-02-01,235.06,242.50,232.43,239.65,33314200,1
MSFT,2021-02-02,241.30,242.31,238.69,239.51,25916300,1
MSFT,2021-02-03,239.57,245.09,239.26,243.00,27158100,1
MSFT,2021-02-04,242.66,243.24,240.37,242.01,25296100,1
MSFT,2021-02-05,242.23,243.28,240.42,242.20,18054800,1
MSFT,2021-02-08,243.15,243.68,240.81,242.47,22211900,1
MSFT,2021-02-09,241.87,244.76,241.38,243.77,23565000,1
MSFT,2021-02-10,245.00,245.92,240.89,242.82,22186700,1
MSFT,2021-02-11,244.78,245.15,242.15,244.49,15751100,1
MSFT,2021-02-12,243.93,245.30,242.73,244.99,16561100,1
MSFT,2021-02-16,245.03,246.13,242.92,243.70,26728500,1
MSFT,2021-02-17,241.32,244.31,240.94,244.20,21653500,1
MSFT,2021-02-18,241.80,243.93,240.86,243.79,16925600,1
MSFT,2021-02-19,243.75,243.86,240.18,240.97,25262600,1
MSFT,2021-02-22,237.42,237.93,232.40,234.51,36446900,1
MSFT,2021-02-23,230.33,234.83,228.73,233.27,30228700,1
MSFT,2021-02-24,230.01,235.20,229.00,234.55,26339700,1
MSFT,2021-02-25,232.08,234.59,227.88,228.99,39542200,1
MSFT,2021-02-26,231.53,235.37,229.54,232.38,37819200,1
MSFT,2021-03-01,235.90,237.47,233.15,236.94,25324000,1
MSFT,2021-03-02,237.01,237.30,233.45,233.87,22812500,1
MSFT,2021-03-03,232.16,233.58,227.26,227.56,34029500,1
MSFT,2021-03-04,226.74,232.49,224.26,226.73,44727800,1
MSFT,2021-03-05,229.52,233.27,226.46,231.60,41872800,1
MSFT,2021-03-08,231.37,233.37,227.13,227.39,35267400,1
MSFT,2021-03-09,232.88,235.38,231.67,233.78,33080500,1
MSFT,2021-03-10,237.00,237.00,232.04,232.42,29746800,1
MSFT,2021-03-11,234.96,239.17,234.31,237.13,29907600,1
MSFT,2021-03-12,234.01,235.82,233.23,235.75,22653700,1
MSFT,2021-03-15,234.96,235.19,231.81,234.81,26034900,1
MSFT,2021-03-16,236.28,240.06,235.94,237.71,28092200,1
MSFT,2021-03-17,236.15,238.55,233.23,237.04,29562100,1
MSFT,2021-03-18,232.56,234.19,230.33,230.72,34833000,1
MSFT,2021-03-19,231.02,232.47,229.35,230.35,46430700,1
MSFT,2021-03-22,230.27,236.90,230.14,235.99,30127000,1
MSFT,2021-03-23,237.49,241.05,237.07,237.58,31638400,1
MSFT,2021-03-24,237.85,238.00,235.32,235.46,25620100,1
MSFT,2021-03-25,235.30,236.94,231.57,232.34,34061900,1
MSFT,2021-03-26,231.55,236.71,231.55,236.48,25479900,1
