symbol,date,open,high,low,close,volume,factor
NVDA,2021-01-04,13.10,13.65,12.96,13.11,560640000,1
NVDA,2021-01-05,13.10,13.44,13.09,13.40,322760000,1
NVDA,2021-01-06,13.22,13.24,12.59,12.61,580424000,1
NVDA,2021-01-07,12.97,13.38,12.89,13.34,461480000,1
NVDA,2021-01-08,13.36,13.42,13.04,13.28,292528000,1
NVDA,2021-01-11,13.42,13.96,13.36,13.62,518344000,1
NVDA,2021-01-12,13.75,13.75,13.35,13.48,291476000,1
NVDA,2021-01-13,13.49,13.62,13.39,13.53,210028000,1
NVDA,2021-01-14,13.57,13.60,13.18,13.20,283120000,1
NVDA,2021-01-15,13.23,13.33,12.85,12.86,277780000,1
NVDA,2021-01-19,13.02,13.09,12.84,13.03,226188000,1
NVDA,2021-01-20,13.11,13.43,13.06,13.37,258572000,1
NVDA,2021-01-21,13.42,14.00,13.25,13.87,337780000,1
NVDA,2021-01-22,13.74,13.84,13.63,13.71,246820000,1
NVDA,2021-01-25,13.78,13.83,13.24,13.65,251112000,1
NVDA,2021-01-26,13.58,13.64,13.39,13.44,163980000,1
NVDA,2021-01-27,13.23,13.23,12.79,12.92,371272000,1
NVDA,2021-01-28,13.00,13.34,12.96,13.05,228316000,1
NVDA,2021-01-29,13.07,13.33,12.91,12.99,271552000,1
NVDA,2021-02-01,13.05,13.27,12.90,13.24,217204000,1
NVDA,2021-02-02,13.40,13.57,13.29,13.56,220440000,1
NVDA,2021-02-03,13.64,13.93,13.52,13.53,245408000,1
NVDA,2021-02-04,13.53,13.67,13.34,13.66,201340000,1
NVDA,2021-02-05,13.73,13.74,13.55,13.59,169152000,1
NVDA,2021-02-08,13.73,14.47,13.73,14.44,434624000,1
NVDA,2021-02-09,14.34,14.58,14.22,14.26,287560000,1
NVDA,2021-02-10,14.46,14.90,14.34,14.76,485352000,1
NVDA,2021-02-11,14.98,15.27,14.93,15.25,450828000,1
NVDA,2021-02-12,15.05,15.29,14.77,14.96,374756000,1
NVDA,2021-02-16,15.06,15.37,14.95,15.33,321960000,1
NVDA,2021-02-17,15.17,15.22,14.78,14.91,274756000,1
NVDA,2021-02-18,14.73,14.87,14.57,14.83,233868000,1
NVDA,2021-02-19,15.02,15.18,14.85,14.93,271724000,1
NVDA,2021-02-22,14.77,15.13,14.32,14.36,325884000,1
NVDA,2021-02-23,14.08,14.24,13.39,14.14,391780000,1
NVDA,2021-02-24,14.12,14.51,13.76,14.50,448320000,1
NVDA,2021-02-25,14.05,14.37,13.22,13.31,824436000,1
NVDA,2021-02-26,13.75,13.85,13.36,13.71,500932000,1
NVDA,2021-03-01,13.88,13.93,13.55,13.84,353184000,1
NVDA,2021-03-02,13.90,13.92,13.40,13.41,264116000,1
NVDA,2021-03-03,13.43,13.45,12.80,12.80,377592000,1
NVDA,2021-03-04,12.80,12.98,12.08,12.37,573344000,1
NVDA,2021-03-05,12.55,12.55,11.68,12.46,542840000,1
NVDA,2021-03-08,12.45,12.47,11.57,11.59,543112000,1
NVDA,2021-03-09,12.13,12.62,12.06,12.52,521824000,1
NVDA,2021-03-10,12.84,12.98,12.46,12.47,384376000,1
NVDA,2021-03-11,12.95,13.05,12.73,12.99,299916000,1
NVDA,2021-03-12,12.65,12.89,12.59,12.86,243964000,1
NVDA,2021-03-15,12.86,13.21,12.77,13.19,221988000,1
NVDA,2021-03-16,13.36,13.51,13.12,13.29,272128000,1
NVDA,2021-03-17,13.04,13.45,12.99,13.34,243864000,1
NVDA,2021-03-18,13.14,13.18,12.72,12.72,293896000,1
NVDA,2021-03-19,12.75,12.92,12.61,12.85,299208000,1
NVDA,2021-03-22,12.91,13.39,12.91,13.19,297804000,1
NVDA,2021-03-23,13.25,13.34,13.02,13.07,222048000,1
NVDA,2021-03-24,13.15,13.16,12.64,12.64,245840000,1
NVDA,2021-03-25,12.50,12.71,12.27,12.54,295144000,1
NVDA,2021-03-26,12.55,12.86,12.37,12.84,363968000,1
NVDA,2021-03-29,12.82,13.06,12.70,12.95,273520000,1
NVDA,2021-03-30,12.84,12.98,12.70,12.87,200204000,1
NVDA,2021-03-31,13.02,13.47,12.98,13.35,314776000,1
NVDA,2021-04-01,13.57,13.87,13.51,13.81,308276000,1
NVDA,2021-04-05,13.87,14.01,13.73,13.99,255672000,1
NVDA,2021-04-06,14.00,14.05,13.77,13.86,191744000,1
NVDA,2021-04-07,13.88,14.24,13.71,14.14,251284000,1
NVDA,2021-04-08,14.25,14.47,14.25,14.32,244416000,1
NVDA,2021-04-09,14.21,14.41,14.18,14.40,195172000,1
NVDA,2021-04-12,14.29,15.35,14.14,15.21,869324000,1
NVDA,2021-04-13,15.23,15.70,15.13,15.68,676212000,1
NVDA,2021-04-14,15.62,15.72,15.23,15.28,385500000,1
NVDA,2021-04-15,15.66,16.21,15.63,16.14,598480000,1
NVDA,2021-04-16,16.05,16.17,15.87,15.91,335208000,1
NVDA,2021-04-19,15.54,15.81,15.23,15.36,404420000,1
NVDA,2021-04-20,15.32,15.50,14.96,15.17,334132000,1
