symbol,date,open,high,low,close,volume,factor
VOO,2021-01-04,345.02,345.09,335.37,339.03,5402600,1
VOO,2021-01-05,338.40,342.39,338.39,341.26,3299700,1
VOO,2021-01-06,339.79,346.50,339.30,343.33,4805000,1
VOO,2021-01-07,345.74,349.20,345.54,348.46,3638900,1
VOO,2021-01-08,349.88,350.62,346.64,350.42,3758500,1
VOO,2021-01-11,347.36,349.82,347.20,348.13,2975000,1
VOO,2021-01-12,348.30,349.15,345.97,348.16,2298400,1
VOO,2021-01-13,348.11,350.06,347.32,349.03,3039900,1
VOO,2021-01-14,349.85,350.32,347.55,347.85,3497400,1
VOO,2021-01-15,346.27,347.06,343.53,345.37,3622100,1
VOO,2021-01-19,347.80,348.59,346.36,348.10,3433800,1
VOO,2021-01-20,350.32,353.71,349.97,352.83,2920600,1
VOO,2021-01-21,353.46,353.84,352.30,353.16,2580800,1
VOO,2021-01-22,351.38,353.04,350.99,351.90,1812200,1
VOO,2021-01-25,352.71,353.68,347.97,353.33,3549000,1
VOO,2021-01-26,354.23,354.65,352.60,352.80,2430200,1
VOO,2021-01-27,349.54,349.56,341.99,344.24,5010400,1
VOO,2021-01-28,345.97,351.07,345.58,347.13,3432200,1
VOO,2021-01-29,345.31,346.22,338.57,340.18,5803600,1
VOO,2021-02-01,343.63,346.85,341.40,345.77,3334000,1
VOO,2021-02-02,349.05,352.34,349.00,350.74,2955200,1
VOO,2021-02-03,351.70,352.80,349.88,351.09,3392800,1
VOO,2021-02-04,352.12,355.04,351.92,355.02,1988300,1
VOO,2021-02-05,356.90,357.13,355.32,356.44,2091800,1
VOO,2021-02-08,357.92,359.07,357.06,359.07,3371100,1
VOO,2021-02-09,358.22,359.33,357.77,358.78,1891200,1
VOO,2021-02-10,360.53,360.61,356.30,358.64,2400000,1
VOO,2021-02-11,359.71,360.10,356.84,359.22,2237200,1
VOO,2021-02-12,358.45,361.19,358.36,361.05,2144500,1
VOO,2021-02-16,362.15,362.37,359.98,360.71,4408500,1
VOO,2021-02-17,359.03,360.97,357.92,360.79,3211800,1
VOO,2021-02-18,358.24,359.93,356.49,359.25,3010500,1
VOO,2021-02-19,360.47,360.71,358.14,358.59,2487100,1
VOO,2021-02-22,355.84,358.19,355.56,355.77,3291000,1
VOO,2021-02-23,353.69,357.56,349.53,356.22,5251100,1
VOO,2021-02-24,355.15,360.58,354.20,360.16,3301200,1
VOO,2021-02-25,359.03,360.27,350.08,351.52,7049200,1
VOO,2021-02-26,353.47,354.47,347.71,349.59,7579500,1
VOO,2021-03-01,354.55,359.39,354.50,358.12,3721100,1
VOO,2021-03-02,358.38,358.63,355.16,355.35,5462600,1
VOO,2021-03-03,354.70,355.64,350.56,350.66,6317600,1
VOO,2021-03-04,350.49,353.02,341.92,346.34,6604500,1
VOO,2021-03-05,349.77,353.73,342.59,352.69,8721300,1
VOO,2021-03-08,353.63,356.40,350.66,350.96,5663500,1
VOO,2021-03-09,354.75,358.46,354.23,355.87,6075100,1
VOO,2021-03-10,358.30,359.84,356.88,358.07,7231400,1
VOO,2021-03-11,360.66,363.76,360.16,361.85,3340700,1
VOO,2021-03-12,360.50,362.45,359.67,362.36,4847300,1
VOO,2021-03-15,362.67,364.75,360.45,364.46,3154800,1
VOO,2021-03-16,365.12,365.78,363.25,364.05,3698400,1
VOO,2021-03-17,362.83,366.05,361.62,365.24,5011600,1
