symbol,date,open,high,low,close,volume,factor
VTI,2021-01-04,195.39,195.43,189.76,191.87,8825800,1
VTI,2021-01-05,191.49,193.95,191.42,193.42,3894000,1
VTI,2021-01-06,192.50,196.89,192.46,195.16,6175700,1
VTI,2021-01-07,196.42,198.62,196.40,198.29,4830900,1
VTI,2021-01-08,199.14,199.46,196.98,199.25,7538700,1
VTI,2021-01-11,197.42,199.06,197.22,198.06,3858600,1
VTI,2021-01-12,198.37,198.99,197.34,198.76,3874100,1
VTI,2021-01-13,198.73,199.58,198.05,198.98,3465800,1
VTI,2021-01-14,199.55,200.03,198.52,198.79,4289000,1
VTI,2021-01-15,197.96,198.25,195.98,197.06,3444800,1
VTI,2021-01-19,198.66,199.04,197.83,198.86,4153700,1
VTI,2021-01-20,200.08,201.76,199.97,201.37,5224900,1
VTI,2021-01-21,201.85,202.00,200.78,201.22,2960600,1
VTI,2021-01-22,200.26,201.31,199.96,200.89,3045900,1
VTI,2021-01-25,201.27,201.95,198.35,201.46,5323200,1
VTI,2021-01-26,201.89,202.34,200.68,200.73,4046900,1
VTI,2021-01-27,199.05,199.08,194.65,195.91,6727700,1
VTI,2021-01-28,196.84,199.68,196.74,197.45,5310100,1
VTI,2021-01-29,196.74,197.25,192.82,193.99,8315700,1
VTI,2021-02-01,195.88,197.73,194.53,197.30,3900700,1
VTI,2021-02-02,199.20,200.96,199.05,200.13,3278700,1
VTI,2021-02-03,200.82,201.26,199.59,200.43,2905600,1
VTI,2021-02-04,201.16,202.97,201.03,202.97,2746400,1
VTI,2021-02-05,204.12,204.29,203.16,204.11,3127200,1
VTI,2021-02-08,205.19,205.98,204.78,205.94,3676700,1
VTI,2021-02-09,205.60,206.45,205.25,206.02,3384800,1
VTI,2021-02-10,207.07,207.22,204.45,205.93,3682400,1
VTI,2021-02-11,206.70,206.94,204.82,206.42,2630000,1
VTI,2021-02-12,205.89,207.51,205.80,207.49,2416700,1
VTI,2021-02-16,208.31,208.39,206.52,207.12,4955700,1
VTI,2021-02-17,206.02,206.90,205.04,206.69,4484000,1
